1.450000000000000178e+00 1.299999999999999822e+00 1.375000000000000222e+00 1.350000000000000089e+00 1.724999999999999867e+00 1.999999999999999778e+00 1.925000000000000044e+00 1.975000000000000089e+00 1.850000000000000089e+00 1.949999999999999734e+00 1.899999999999999689e+00 1.875000000000000000e+00 1.824999999999999289e+00 1.999999999999999334e+00 1.949999999999999289e+00 1.899999999999999689e+00 2.000000000000000000e+00 1.924999999999999600e+00 1.874999999999999556e+00 2.100000000000000089e+00
1.150000000000000133e+00 1.050000000000000266e+00 1.100000000000000089e+00 1.149999999999999911e+00 1.074999999999999956e+00 1.050000000000000266e+00 1.199999999999999956e+00 1.499999999999999778e+00 1.524999999999999911e+00 1.475000000000000089e+00 1.525000000000000355e+00 1.649999999999999911e+00 1.500000000000000000e+00 1.425000000000000044e+00 1.500000000000000222e+00 1.475000000000000089e+00 1.474999999999999867e+00 1.425000000000000044e+00 1.550000000000000044e+00 1.574999999999999956e+00
1.175000000000000266e+00 1.199999999999999734e+00 1.175000000000000266e+00 1.125000000000000222e+00 1.100000000000000089e+00 1.150000000000000355e+00 1.125000000000000000e+00 1.050000000000000044e+00 1.175000000000000266e+00 1.125000000000000222e+00 1.125000000000000222e+00 1.225000000000000089e+00 1.525000000000000133e+00 1.425000000000000044e+00 1.375000000000000444e+00 1.549999999999999600e+00 1.449999999999999734e+00 1.424999999999999822e+00 1.349999999999999867e+00 1.324999999999999734e+00
7.000000000000002887e-01 8.000000000000002665e-01 7.750000000000002442e-01 5.750000000000001776e-01 7.000000000000002887e-01 7.500000000000002220e-01 8.750000000000002220e-01 7.500000000000002220e-01 8.000000000000002665e-01 8.750000000000002220e-01 9.500000000000002887e-01 8.750000000000003331e-01 9.750000000000001998e-01 1.050000000000000044e+00 1.150000000000000355e+00 1.025000000000000133e+00 1.225000000000000089e+00 1.200000000000000178e+00 1.250000000000000000e+00 1.275000000000000355e+00
6.500000000000001332e-01 6.250000000000002220e-01 6.250000000000002220e-01 8.500000000000003109e-01 6.000000000000001998e-01 6.000000000000001998e-01 7.500000000000003331e-01 9.000000000000002442e-01 7.250000000000000888e-01 8.250000000000001776e-01 7.750000000000002442e-01 7.250000000000001998e-01 7.000000000000002887e-01 1.000000000000000222e+00 9.750000000000001998e-01 1.150000000000000133e+00 1.050000000000000488e+00 1.250000000000000222e+00 1.175000000000000488e+00 1.125000000000000000e+00
5.000000000000001110e-01 5.750000000000000666e-01 5.500000000000000444e-01 6.000000000000001998e-01 7.000000000000002887e-01 6.500000000000002442e-01 5.250000000000002442e-01 5.500000000000001554e-01 7.750000000000002442e-01 6.750000000000001554e-01 7.500000000000001110e-01 8.250000000000001776e-01 8.500000000000000888e-01 6.750000000000000444e-01 7.000000000000001776e-01 7.750000000000003553e-01 8.500000000000004219e-01 7.250000000000001998e-01 8.500000000000003109e-01 9.500000000000001776e-01
5.000000000000001110e-01 4.750000000000000333e-01 4.750000000000001443e-01 5.500000000000001554e-01 5.750000000000000666e-01 6.000000000000001998e-01 7.000000000000001776e-01 6.250000000000003331e-01 5.000000000000001110e-01 4.250000000000000444e-01 5.000000000000000000e-01 7.000000000000001776e-01 6.250000000000002220e-01 6.750000000000000444e-01 6.750000000000001554e-01 5.500000000000001554e-01 6.250000000000002220e-01 7.000000000000002887e-01 5.750000000000000666e-01 6.500000000000002442e-01
4.250000000000000999e-01 3.500000000000000333e-01 5.750000000000000666e-01 4.250000000000000444e-01 4.250000000000000444e-01 3.750000000000000555e-01 3.250000000000000666e-01 4.500000000000001221e-01 4.750000000000001443e-01 4.500000000000000666e-01 2.750000000000000222e-01 1.999999999999999833e-01 3.250000000000000666e-01 3.500000000000000888e-01 4.250000000000001554e-01 5.000000000000001110e-01 3.500000000000000888e-01 4.250000000000000444e-01 6.750000000000001554e-01 6.500000000000002442e-01
4.250000000000000999e-01 3.749999999999999445e-01 3.249999999999999556e-01 5.249999999999999112e-01 5.250000000000000222e-01 5.750000000000001776e-01 4.250000000000001554e-01 3.750000000000000555e-01 5.000000000000001110e-01 6.000000000000000888e-01 5.750000000000000666e-01 5.000000000000001110e-01 3.750000000000000000e-01 3.750000000000000555e-01 2.999999999999999889e-01 4.500000000000000666e-01 6.500000000000000222e-01 6.250000000000001110e-01 3.250000000000000666e-01 4.250000000000000444e-01
2.749999999999999667e-01 4.000000000000000777e-01 3.500000000000000333e-01 2.750000000000000222e-01 3.750000000000000555e-01 3.500000000000000333e-01 5.000000000000000000e-01 4.500000000000001221e-01 3.500000000000000333e-01 3.750000000000000000e-01 4.750000000000001443e-01 4.250000000000000444e-01 5.000000000000001110e-01 5.250000000000001332e-01 4.500000000000000111e-01 2.749999999999999667e-01 1.749999999999999889e-01 1.999999999999999833e-01 5.000000000000000000e-01 4.500000000000000666e-01
1.499999999999999944e-01 2.749999999999999667e-01 2.499999999999999722e-01 2.000000000000000111e-01 2.249999999999999778e-01 3.000000000000000444e-01 3.500000000000000888e-01 3.750000000000000555e-01 3.750000000000000555e-01 4.250000000000000999e-01 3.750000000000001110e-01 4.000000000000000777e-01 4.250000000000000999e-01 3.750000000000000000e-01 5.250000000000001332e-01 5.500000000000001554e-01 4.500000000000000666e-01 4.000000000000000222e-01 3.500000000000000333e-01 3.500000000000000333e-01
3.500000000000000888e-01 2.750000000000000222e-01 2.999999999999999889e-01 2.749999999999999667e-01 3.250000000000000111e-01 1.749999999999999889e-01 1.750000000000000167e-01 2.499999999999999722e-01 2.750000000000000222e-01 1.999999999999999833e-01 3.000000000000000444e-01 3.750000000000001110e-01 3.500000000000000888e-01 4.750000000000000888e-01 4.500000000000000666e-01 3.250000000000000666e-01 4.250000000000000444e-01 4.500000000000001221e-01 3.500000000000000333e-01 3.750000000000000000e-01
7.500000000000001110e-02 1.499999999999999944e-01 1.499999999999999944e-01 1.999999999999999833e-01 2.749999999999999667e-01 2.750000000000000222e-01 2.999999999999999889e-01 2.249999999999999778e-01 2.749999999999999667e-01 2.749999999999999667e-01 2.249999999999999778e-01 2.249999999999999778e-01 4.000000000000000777e-01 4.000000000000000777e-01 3.250000000000000666e-01 3.499999999999999778e-01 3.999999999999999667e-01 4.250000000000001554e-01 4.250000000000001554e-01 3.250000000000000666e-01
1.499999999999999944e-01 1.499999999999999944e-01 1.499999999999999944e-01 2.749999999999999667e-01 1.250000000000000000e-01 2.999999999999999889e-01 2.249999999999999778e-01 3.000000000000000444e-01 2.750000000000000222e-01 1.999999999999999833e-01 2.750000000000000222e-01 3.000000000000000444e-01 1.749999999999999889e-01 2.249999999999999778e-01 2.749999999999999667e-01 2.750000000000000222e-01 2.999999999999999889e-01 2.499999999999999722e-01 2.249999999999999778e-01 3.500000000000000333e-01
5.000000000000000278e-02 1.000000000000000056e-01 1.000000000000000056e-01 1.250000000000000000e-01 1.499999999999999944e-01 1.250000000000000000e-01 1.999999999999999833e-01 2.249999999999999778e-01 2.499999999999999722e-01 3.500000000000000333e-01 2.000000000000000111e-01 1.000000000000000056e-01 1.250000000000000000e-01 1.499999999999999944e-01 1.749999999999999889e-01 2.999999999999999889e-01 1.749999999999999889e-01 2.750000000000000222e-01 3.750000000000001110e-01 1.750000000000000167e-01
1.000000000000000056e-01 2.500000000000000139e-02 1.499999999999999944e-01 1.499999999999999944e-01 2.249999999999999778e-01 2.000000000000000111e-01 1.749999999999999889e-01 1.499999999999999944e-01 1.999999999999999833e-01 1.750000000000000167e-01 3.250000000000000111e-01 2.750000000000000222e-01 1.749999999999999889e-01 1.499999999999999944e-01 1.250000000000000000e-01 1.749999999999999889e-01 2.999999999999999889e-01 1.499999999999999944e-01 2.249999999999999778e-01 2.999999999999999889e-01
5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 1.000000000000000056e-01 7.500000000000001110e-02 1.499999999999999944e-01 2.249999999999999778e-01 1.999999999999999833e-01 2.249999999999999778e-01 2.249999999999999778e-01 1.749999999999999889e-01 2.999999999999999889e-01 2.999999999999999889e-01 2.249999999999999778e-01 2.999999999999999889e-01 2.500000000000000000e-01 2.000000000000000111e-01 2.999999999999999889e-01 2.250000000000000056e-01 1.999999999999999833e-01
1.000000000000000056e-01 1.000000000000000056e-01 1.250000000000000000e-01 7.500000000000001110e-02 1.000000000000000056e-01 1.499999999999999944e-01 1.250000000000000000e-01 1.999999999999999833e-01 1.000000000000000056e-01 2.249999999999999778e-01 1.000000000000000056e-01 1.499999999999999944e-01 2.000000000000000111e-01 1.250000000000000000e-01 1.750000000000000167e-01 2.749999999999999667e-01 2.499999999999999722e-01 2.499999999999999722e-01 1.999999999999999833e-01 2.500000000000000000e-01
0.000000000000000000e+00 2.500000000000000139e-02 5.000000000000000278e-02 5.000000000000000278e-02 2.500000000000000139e-02 2.500000000000000139e-02 1.250000000000000000e-01 1.250000000000000000e-01 1.499999999999999944e-01 1.250000000000000000e-01 1.499999999999999944e-01 1.749999999999999889e-01 1.749999999999999889e-01 1.749999999999999889e-01 1.000000000000000056e-01 5.000000000000000278e-02 1.499999999999999944e-01 1.749999999999999889e-01 2.499999999999999722e-01 2.499999999999999722e-01
2.500000000000000139e-02 7.500000000000001110e-02 5.000000000000000278e-02 1.000000000000000056e-01 1.000000000000000056e-01 7.500000000000001110e-02 2.500000000000000139e-02 1.000000000000000056e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.749999999999999889e-01 7.500000000000001110e-02 1.000000000000000056e-01 1.499999999999999944e-01 1.000000000000000056e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.250000000000000000e-01 1.000000000000000056e-01 1.499999999999999944e-01
5.000000000000000278e-02 5.000000000000000278e-02 5.000000000000000278e-02 5.000000000000000278e-02 5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 5.000000000000000278e-02 1.250000000000000000e-01 1.250000000000000000e-01 2.249999999999999778e-01 1.000000000000000056e-01 7.500000000000001110e-02 1.250000000000000000e-01 1.000000000000000056e-01 1.000000000000000056e-01 1.000000000000000056e-01 1.250000000000000000e-01 1.749999999999999889e-01 1.250000000000000000e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 1.000000000000000056e-01 1.000000000000000056e-01 1.499999999999999944e-01 1.000000000000000056e-01 1.250000000000000000e-01 1.749999999999999889e-01 2.249999999999999778e-01 1.500000000000000222e-01 1.000000000000000056e-01 1.250000000000000000e-01 2.500000000000000139e-02 5.000000000000000278e-02 5.000000000000000278e-02 1.499999999999999944e-01
0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 5.000000000000000278e-02 7.500000000000001110e-02 0.000000000000000000e+00 1.749999999999999889e-01 1.250000000000000000e-01 1.749999999999999889e-01 1.000000000000000056e-01 1.749999999999999889e-01 1.749999999999999889e-01 7.500000000000001110e-02 1.749999999999999889e-01 1.499999999999999944e-01 1.000000000000000056e-01 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 7.500000000000001110e-02 5.000000000000000278e-02 0.000000000000000000e+00 5.000000000000000278e-02 5.000000000000000278e-02 1.000000000000000056e-01 1.999999999999999833e-01 1.999999999999999833e-01 1.499999999999999944e-01 1.499999999999999944e-01 1.000000000000000056e-01 1.000000000000000056e-01 1.250000000000000000e-01 1.999999999999999833e-01 1.999999999999999833e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 5.000000000000000278e-02 7.500000000000001110e-02 2.500000000000000139e-02 2.500000000000000139e-02 1.000000000000000056e-01 1.000000000000000056e-01 1.000000000000000056e-01 0.000000000000000000e+00 1.499999999999999944e-01 1.250000000000000000e-01 1.000000000000000056e-01 5.000000000000000278e-02 5.000000000000000278e-02 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 2.500000000000000139e-02 7.500000000000001110e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 1.499999999999999944e-01 2.500000000000000000e-01 1.000000000000000056e-01 1.499999999999999944e-01 1.499999999999999944e-01 1.499999999999999944e-01 5.000000000000000278e-02 5.000000000000000278e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 5.000000000000000278e-02 5.000000000000000278e-02 7.500000000000001110e-02 0.000000000000000000e+00 7.500000000000001110e-02 1.000000000000000056e-01 1.499999999999999944e-01 1.499999999999999944e-01 1.499999999999999944e-01 7.500000000000001110e-02 1.250000000000000000e-01 1.499999999999999944e-01 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 2.500000000000000139e-02 0.000000000000000000e+00 7.500000000000001110e-02 1.499999999999999944e-01 1.499999999999999944e-01 1.499999999999999944e-01 1.250000000000000000e-01 2.500000000000000139e-02 1.499999999999999944e-01 1.250000000000000000e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 1.000000000000000056e-01 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 5.000000000000000278e-02 1.499999999999999944e-01 1.499999999999999944e-01 1.499999999999999944e-01 1.499999999999999944e-01 7.500000000000001110e-02 2.500000000000000139e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000056e-01 5.000000000000000278e-02 2.500000000000000139e-02 2.500000000000000139e-02 1.000000000000000056e-01 1.499999999999999944e-01 1.250000000000000000e-01 1.749999999999999889e-01 7.500000000000001110e-02 2.000000000000000111e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 2.500000000000000139e-02 0.000000000000000000e+00 5.000000000000000278e-02 7.500000000000001110e-02 1.000000000000000056e-01 1.250000000000000000e-01 1.999999999999999833e-01 2.500000000000000139e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 5.000000000000000278e-02 1.000000000000000056e-01 7.500000000000001110e-02 7.500000000000001110e-02 7.500000000000001110e-02 0.000000000000000000e+00 5.000000000000000278e-02 1.250000000000000000e-01 1.250000000000000000e-01 5.000000000000000278e-02 1.250000000000000000e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 7.500000000000001110e-02 2.500000000000000139e-02 5.000000000000000278e-02 7.500000000000001110e-02 2.500000000000000139e-02 7.500000000000001110e-02 5.000000000000000278e-02 1.000000000000000056e-01 1.500000000000000222e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 5.000000000000000278e-02 0.000000000000000000e+00 5.000000000000000278e-02 2.500000000000000139e-02 7.500000000000001110e-02 7.500000000000001110e-02 1.000000000000000056e-01 7.500000000000001110e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 7.500000000000001110e-02 5.000000000000000278e-02 2.500000000000000139e-02 1.000000000000000056e-01 5.000000000000000278e-02 5.000000000000000278e-02 5.000000000000000278e-02 1.250000000000000000e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 5.000000000000000278e-02 7.500000000000001110e-02 7.500000000000001110e-02 2.500000000000000139e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 5.000000000000000278e-02 1.000000000000000056e-01 5.000000000000000278e-02 7.500000000000001110e-02 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 0.000000000000000000e+00 5.000000000000000278e-02 1.000000000000000056e-01 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 2.500000000000000139e-02 7.500000000000001110e-02 7.500000000000001110e-02 5.000000000000000278e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 5.000000000000000278e-02 2.500000000000000139e-02 2.500000000000000139e-02 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 5.000000000000000278e-02 2.500000000000000139e-02 5.000000000000000278e-02 7.500000000000001110e-02 1.000000000000000056e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.500000000000001110e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.500000000000001110e-02 0.000000000000000000e+00 2.500000000000000139e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 7.500000000000001110e-02 2.500000000000000139e-02
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000139e-02 2.500000000000000139e-02 2.500000000000000139e-02
